customer_id,n_transactions,total_amount,max_fraud_probability,confirmed_fraud,risk_score,risk_tier
C1499825229,1,235238.66,0.998902,1,97.31,E
C1872047468,1,235238.66,0.986491,1,96.56,E
C2026325575,1,169941.73,0.999048,1,96.17,E
C540962910,1,169941.73,0.998379,1,96.13,E
C77163673,1,1096187.24,0.99979,1,95.75,E
C1334405552,1,1277212.77,0.989409,1,95.18,E
C1844941220,1,86070.17,0.998631,1,94.18,E
C383717053,1,262434.54,0.930982,1,93.58,E
C467632528,1,1277212.77,0.994635,1,92.5,E
C383882703,1,60726.57,0.998979,1,92.46,E
C903383636,1,30521.02,0.997358,1,92.22,E
C2025652936,1,33332.86,0.992128,1,92.07,E
C351297720,1,10000000.0,0.999373,1,91.96,E
C840095827,1,60726.57,0.971625,1,91.82,E
C1093223281,1,1096187.24,0.999432,1,91.73,E
C1547714604,1,216422.0,0.970456,1,91.28,E
C1635772897,1,35063.63,0.976456,1,91.23,E
C558400671,1,85354.69,0.996185,1,91.01,E
C2047521920,1,2930418.44,0.99971,1,90.97,E
C2044690596,1,2930418.44,0.998953,1,90.93,E
C1440057381,1,963532.14,0.999809,1,90.71,E
C430329518,1,963532.14,0.999569,1,90.7,E
C788790720,1,17320.91,0.987243,1,90.28,E
C140702728,1,14949.84,0.991224,1,90.05,E
C556223230,1,13707.11,0.995909,1,90.04,E
C1034673425,1,17246.0,0.973102,1,89.42,E
C1735554279,1,13704.0,0.979246,1,89.03,E
C777407608,1,10565.0,0.993309,1,88.78,E
C365589282,1,10224.0,0.995868,1,88.76,E
C1284098442,1,10224.0,0.982526,1,87.96,E
C685428529,1,33332.86,0.971075,1,87.81,E
C1364127192,1,35063.63,0.99411,1,87.29,E
C666642000,1,216422.0,0.83556,1,87.19,E
C17222024,1,13707.11,0.999012,1,86.22,E
C1409933277,1,120074.73,0.999824,1,86.13,E
C1174000532,1,120074.73,0.999829,1,86.13,E
C213063852,1,10119.47,0.944419,1,85.64,E
C158801009,1,85354.69,0.998916,1,85.17,E
C13692003,1,132842.64,0.96163,1,85.16,E
C749981943,1,416001.33,0.916425,1,84.89,E
C395257482,1,14949.84,0.99889,1,84.51,E
C1484518113,1,17246.0,0.998809,1,83.96,E
C1699873763,1,86070.17,0.990372,1,83.68,E
C1118430673,1,20128.0,0.999619,1,83.46,E
C1813769162,1,30521.02,0.99974,1,83.36,E
C457596841,1,26768.5,0.998546,1,83.03,E
C682812632,1,26768.5,0.998476,1,83.02,E
C669700766,1,25071.46,0.999848,1,82.96,E
C1275464847,1,25071.46,0.999934,1,82.96,E
C1247938090,1,22877.0,0.999872,1,82.76,E
C2126545173,1,22877.0,0.999449,1,82.74,E
C137533655,1,20128.0,0.999555,1,82.45,E
C1375503918,1,18627.02,0.999736,1,82.26,E
C864622150,1,25975.86,0.999488,1,82.02,E
C175961135,1,18627.02,0.992577,1,81.83,E
C1421965867,1,13704.0,0.999869,1,81.27,E
C1004271827,1,25975.86,0.985971,1,81.21,E
C1775746074,1,10119.47,0.997281,1,80.81,E
C1134864869,1,10539.37,0.999917,1,80.16,E
C1191732945,1,10565.0,0.998844,1,80.11,E
C1984954272,1,10539.37,0.996859,1,79.98,D
C1420196421,1,2806.0,0.989937,1,73.74,D
C2101527076,1,2806.0,0.995407,1,73.07,D
C840083671,1,181.0,0.995606,1,70.93,D
C1551350415,1,52054.69,0.694418,0,64.92,D
C2101686389,1,262434.54,0.440239,1,62.13,D
C1877317084,1,48267.2,0.735698,0,59.28,C
C1827344889,1,97661.94,0.461099,0,47.22,C
C436661284,1,17320.91,0.263703,1,46.87,C
C1687227181,1,123755.39,0.50859,0,46.75,C
C1378280450,1,34115.82,0.360908,0,39.24,B
C1359849336,1,20470.3,0.304617,0,36.8,B
C1254161863,1,394310.01,0.176748,0,35.41,B
C485281961,1,889053.15,0.081788,0,31.59,B
C1711329405,1,248605.85,0.067137,0,31.56,B
C7162498,1,10000000.0,0.002791,1,31.17,B
