row_id,step,type,branch,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,unusuallogin,acct_type,time_of_day,day_of_week,actual_fraud,predicted_fraud,fraud_probability
0,7,PAYMENT,Espana,1526.5,0.0,0.0,0.0,0.0,7,Savings,Afternoon,3.0,0,0,1.5e-05
1,7,PAYMENT,Honduras,1620.17,0.0,0.0,0.0,0.0,2,Savings,Night,5.0,0,0,1.1e-05
2,7,PAYMENT,Indonesia,5689.82,0.0,0.0,0.0,0.0,3,Savings,Morning,7.0,0,0,6e-06
3,7,PAYMENT,Estados Unidos,2211.07,0.0,0.0,0.0,0.0,13,Savings,Afternoon,6.0,0,0,1.4e-05
4,7,PAYMENT,Estados Unidos,824.63,0.0,0.0,0.0,0.0,7,Savings,Morning,6.0,0,0,8e-06
5,7,PAYMENT,Italia,10330.01,0.0,0.0,0.0,0.0,2,Savings,Night,6.0,0,0,1.2e-05
6,7,PAYMENT,Francia,10536.99,0.0,0.0,0.0,0.0,17,Savings,Night,1.0,0,0,1e-05
7,7,PAYMENT,Irlanda,12317.87,0.0,0.0,0.0,0.0,4,Savings,Afternoon,2.0,0,0,1.1e-05
8,7,PAYMENT,Finlandia,9633.05,0.0,0.0,0.0,0.0,3,Savings,Night,3.0,0,0,1e-05
9,7,PAYMENT,Espana,2515.77,0.0,0.0,0.0,0.0,14,Savings,Afternoon,4.0,0,0,1.6e-05
10,7,PAYMENT,Francia,12241.43,0.0,0.0,0.0,0.0,5,Savings,Afternoon,6.0,0,0,1.3e-05
11,7,PAYMENT,Alemania,2693.26,0.0,0.0,0.0,0.0,1,Savings,Afternoon,2.0,0,0,8.4e-05
12,7,PAYMENT,Alemania,4798.8,0.0,0.0,0.0,0.0,4,Savings,Afternoon,5.0,0,0,1.5e-05
13,7,PAYMENT,Italia,5756.56,0.0,0.0,0.0,0.0,12,Savings,Morning,4.0,0,0,8e-06
14,7,PAYMENT,Alemania,25404.53,0.0,0.0,0.0,0.0,10,Savings,Night,3.0,0,0,9e-06
15,7,PAYMENT,Mexico,827.69,0.0,0.0,0.0,0.0,9,Savings,Night,5.0,0,0,6e-06
16,7,PAYMENT,Peru,5501.2,0.0,0.0,0.0,0.0,1,Savings,Afternoon,7.0,0,0,6.3e-05
17,7,PAYMENT,Cuba,14766.83,0.0,0.0,0.0,0.0,4,Savings,Afternoon,6.0,0,0,1.7e-05
18,7,PAYMENT,Nicaragua,10469.87,0.0,0.0,0.0,0.0,2,Savings,Afternoon,1.0,0,0,9e-06
19,7,PAYMENT,Honduras,16319.94,0.0,0.0,0.0,0.0,13,Savings,Morning,2.0,0,0,7e-06
20,7,PAYMENT,El Salvador,9230.32,0.0,0.0,0.0,0.0,10,Savings,Afternoon,4.0,0,0,1.9e-05
